category,price,date
Apparel,48,2020-11-03T10:39:38.000Z
Google,7,2020-11-03T12:56:12.000Z
New,15,2020-11-03T12:56:12.000Z
Drinkware,4,2020-11-03T12:56:12.000Z
New,2,2020-11-03T12:56:12.000Z
Accessories,8,2020-11-03T14:05:28.000Z
Google,7,2020-11-03T14:05:28.000Z
Fun,2,2020-11-03T14:05:28.000Z
Apparel,10,2020-11-03T14:05:28.000Z
Accessories,6,2020-11-03T14:05:28.000Z
Stationery,1,2020-11-03T14:05:28.000Z
Shop by Brand,30,2020-11-03T14:26:22.000Z
Apparel,63,2020-11-03T14:45:38.000Z
Apparel,48,2020-11-03T14:45:38.000Z
Apparel,13,2020-11-03T14:59:13.000Z
Drinkware,24,2020-11-03T14:59:13.000Z
New,12,2020-11-03T14:59:13.000Z
Apparel,48,2020-11-03T14:59:13.000Z
Campus Collection,11,2020-11-03T14:59:13.000Z
Apparel,60,2020-11-03T15:02:18.000Z
Apparel,24,2020-11-03T15:25:51.000Z
Lifestyle,16,2020-11-03T15:25:51.000Z
Drinkware,24,2020-11-03T15:25:51.000Z
Apparel,48,2020-11-03T16:03:04.000Z
Drinkware,10,2020-11-03T16:05:12.000Z
New,12,2020-11-03T16:05:12.000Z
Apparel,79,2020-11-03T16:10:20.000Z
Apparel,18,2020-11-03T16:10:20.000Z
Apparel,10,2020-11-03T16:10:20.000Z
Apparel,10,2020-11-03T16:10:20.000Z
Shop by Brand,25,2020-11-03T16:17:13.000Z
Apparel,60,2020-11-03T16:17:13.000Z
Bags,58,2020-11-03T16:17:13.000Z
New,8,2020-11-03T16:17:13.000Z
Uncategorized Items,18,2020-11-03T16:24:42.000Z
Apparel,22,2020-11-03T16:24:42.000Z
Accessories,16,2020-11-03T18:16:43.000Z
Apparel,18,2020-11-03T18:16:43.000Z
Uncategorized Items,18,2020-11-03T18:16:43.000Z
Shop by Brand,37,2020-11-03T18:16:43.000Z
Apparel,24,2020-11-03T18:25:25.000Z
Apparel,24,2020-11-03T18:25:25.000Z
Apparel,60,2020-11-03T18:25:25.000Z
Small Goods,4,2020-11-03T18:27:29.000Z
Apparel,24,2020-11-03T18:27:29.000Z
Campus Collection,7,2020-11-03T18:27:29.000Z
Campus Collection,7,2020-11-03T18:27:29.000Z
Campus Collection,7,2020-11-03T18:27:29.000Z
Drinkware,18,2020-11-03T19:39:58.000Z
Apparel,18,2020-11-03T19:39:58.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Campus Collection,7,2020-11-03T20:34:19.000Z
Office,3,2020-11-03T20:47:56.000Z
Uncategorized Items,18,2020-11-03T21:36:23.000Z
Apparel,20,2020-11-03T21:36:23.000Z
Clearance,9,2020-11-03T21:36:23.000Z
Electronics Accessories,10,2020-11-03T21:36:23.000Z
Campus Collection,6,2020-11-03T22:29:17.000Z
Apparel,60,2020-11-03T22:29:17.000Z
New,3,2020-11-03T22:30:41.000Z
Shop by Brand,2,2020-11-03T22:30:41.000Z
Small Goods,4,2020-11-03T22:30:41.000Z
Shop by Brand,37,2020-11-03T22:37:30.000Z
Shop by Brand,2,2020-11-03T22:45:26.000Z
Small Goods,4,2020-11-03T22:45:26.000Z
New,3,2020-11-03T22:45:26.000Z
Apparel,14,2020-11-03T23:07:54.000Z
Apparel,14,2020-11-03T23:07:54.000Z
New,3,2020-11-03T23:28:11.000Z
Shop by Brand,2,2020-11-03T23:28:11.000Z
Small Goods,4,2020-11-03T23:28:11.000Z
Shop by Brand,2,2020-11-04T00:07:06.000Z
Apparel,10,2020-11-04T00:07:06.000Z
Clearance,3,2020-11-04T00:07:06.000Z
New,12,2020-11-04T00:07:06.000Z
Accessories,4,2020-11-04T00:07:06.000Z
Campus Collection,18,2020-11-04T00:07:06.000Z
Small Goods,3,2020-11-04T00:07:06.000Z
Shop by Brand,1,2020-11-04T00:07:06.000Z
Bags,28,2020-11-04T00:07:06.000Z
Campus Collection,7,2020-11-04T00:07:06.000Z
Apparel,14,2020-11-04T00:35:54.000Z
Drinkware,20,2020-11-04T00:35:54.000Z
Fun,2,2020-11-04T00:35:54.000Z
Office,5,2020-11-04T00:35:54.000Z
Small Goods,8,2020-11-04T00:35:54.000Z
Lifestyle,18,2020-11-04T00:35:54.000Z
Uncategorized Items,18,2020-11-04T00:40:40.000Z
Shop by Brand,2,2020-11-04T00:47:45.000Z
New,3,2020-11-04T00:47:45.000Z
Small Goods,4,2020-11-04T00:47:45.000Z
Stationery,1,2020-11-04T02:32:59.000Z
New,2,2020-11-04T02:32:59.000Z
Office,2,2020-11-04T02:32:59.000Z
Campus Collection,32,2020-11-04T02:32:59.000Z
New,12,2020-11-04T02:32:59.000Z
Lifestyle,18,2020-11-04T02:49:54.000Z
Apparel,48,2020-11-04T02:49:54.000Z
Uncategorized Items,18,2020-11-04T04:45:07.000Z
Apparel,16,2020-11-04T04:54:27.000Z
Bags,30,2020-11-04T05:27:40.000Z
Clearance,14,2020-11-04T05:36:09.000Z
Small Goods,16,2020-11-04T05:36:09.000Z
Small Goods,4,2020-11-04T05:36:09.000Z
Campus Collection,14,2020-11-04T06:47:38.000Z
Campus Collection,11,2020-11-04T06:47:38.000Z
Clearance,8,2020-11-04T06:47:38.000Z
Stationery,12,2020-11-04T06:47:38.000Z
Apparel,55,2020-11-04T06:47:38.000Z
Apparel,20,2020-11-04T06:47:38.000Z
Drinkware,10,2020-11-04T06:47:38.000Z
Lifestyle,16,2020-11-04T07:13:58.000Z
Office,16,2020-11-04T07:33:59.000Z
New,12,2020-11-04T07:33:59.000Z
New,16,2020-11-04T07:33:59.000Z
Shop by Brand,25,2020-11-04T07:33:59.000Z
Apparel,48,2020-11-04T07:33:59.000Z
Office,15,2020-11-04T08:19:12.000Z
Lifestyle,22,2020-11-04T08:19:12.000Z
Lifestyle,33,2020-11-04T08:19:12.000Z
Bags,60,2020-11-04T08:19:12.000Z
New,12,2020-11-04T08:19:12.000Z
Apparel,60,2020-11-04T08:57:54.000Z
Drinkware,24,2020-11-04T08:57:54.000Z
Uncategorized Items,3,2020-11-04T10:36:15.000Z
Uncategorized Items,3,2020-11-04T10:36:15.000Z
